order_id,customer_id,material_id,machine_id,product_id,customer_name,layer_count,surface_finish,start_date,end_date,deadline_date,shipping_date,quantity_requested,quantity_started,quantity_scrapped,quantity_remade,quantity_shipped,material_cost_usd,labor_cost_usd,maintenance_cost_usd,sales_price_per_board_usd,production_duration_days,is_delayed,delay_days,remake_needed,scrap_reason
ORD-1000,CUST-0250,MAT-001,MC-034,PROD-005,PrimeAssembly,4,Hard Gold,6/4/2023,6/12/2023,7/2/2023,7/8/2023,26,32,1,0,26,17.44,110.25,75.96,55.22,8,1,6,0,Contamination
ORD-1001,CUST-0085,MAT-003,MC-019,PROD-016,MetaLayer,10,ENIG,6/14/2023,7/1/2023,7/9/2023,7/16/2023,31,36,8,8,31,83.41,138.17,62.5,78.85,17,1,7,1,Drill offset
ORD-1002,CUST-0334,MAT-001,MC-034,PROD-008,Digital Logic Systems,6,OSP,4/13/2023,4/29/2023,5/21/2023,4/29/2023,23,27,4,0,23,9.21,96.4,52.91,86.33,16,0,0,0,Drill offset
ORD-1003,CUST-0175,MAT-003,MC-029,PROD-021,PlusFlex,12,ENIG,7/24/2023,8/5/2023,8/19/2023,8/5/2023,40,46,2,0,40,99.18,59.23,33.66,108.95,12,0,0,0,Over-etch
ORD-1004,CUST-0235,MAT-004,MC-034,PROD-042,Solutions Solutions,30,HASL,6/19/2023,7/14/2023,7/24/2023,7/14/2023,35,43,5,0,35,87.47,78.3,53.62,50.47,25,0,0,0,Contamination
ORD-1005,CUST-0122,MAT-001,MC-024,PROD-007,SysTechnologies,6,HASL,8/15/2023,9/10/2023,9/12/2023,9/14/2023,40,51,0,0,40,37.18,69.45,46.58,45.5,26,1,2,0,
ORD-1006,CUST-0330,MAT-006,MC-017,PROD-044,SignalAS,30,Immersion Gold,4/10/2023,5/3/2023,5/5/2023,5/3/2023,30,36,1,0,30,111.77,79.94,30.72,61.16,23,0,0,0,Contamination
ORD-1007,CUST-0205,MAT-002,MC-036,PROD-032,HyperCircuit,20,HASL,11/24/2023,12/7/2023,12/27/2023,12/7/2023,55,64,1,0,55,89.89,103.27,53.89,73.89,13,0,0,0,Delamination
ORD-1008,CUST-0232,MAT-001,MC-028,PROD-011,SwiftIndustries,8,ENIG,4/1/2023,4/22/2023,5/9/2023,4/22/2023,41,51,1,0,41,12.91,137.43,83.5,83.65,21,0,0,0,Contamination
ORD-1009,CUST-0333,MAT-002,MC-014,PROD-036,SemiIndustries,24,ENIG,10/19/2023,11/11/2023,11/16/2023,12/2/2023,55,64,10,4,55,79.26,153.17,46.07,89.65,23,1,16,1,AOI defect
ORD-1010,CUST-0221,MAT-006,MC-015,PROD-012,Digital Layer Industries,8,HASL,3/8/2023,3/20/2023,4/12/2023,3/20/2023,30,38,3,0,30,103.91,132.4,45.58,61.34,12,0,0,0,AOI defect
ORD-1011,CUST-0149,MAT-006,MC-036,PROD-026,Fabrication Group,16,ENIG,10/4/2023,10/22/2023,11/7/2023,10/22/2023,44,56,1,0,44,60.34,103.53,48.46,62.29,18,0,0,0,Drill offset
ORD-1012,CUST-0049,MAT-004,MC-016,PROD-007,Summit Board Holdings,6,HASL,2/25/2023,3/14/2023,3/22/2023,3/14/2023,37,44,2,0,37,36.13,116.92,37.68,48.67,17,0,0,0,Over-etch
ORD-1013,CUST-0109,MAT-006,MC-003,PROD-036,Gamma Solutions,24,ENIG,6/24/2023,7/19/2023,7/25/2023,7/19/2023,40,48,0,0,40,21.35,125.75,40.38,97.55,25,0,0,0,
ORD-1014,CUST-0251,MAT-002,MC-019,PROD-030,Super Component Solutions,16,Hard Gold,9/22/2023,10/17/2023,10/26/2023,11/9/2023,32,38,7,6,32,41.36,118.34,44.84,84.35,25,1,14,1,Delamination
ORD-1015,CUST-0290,MAT-005,MC-027,PROD-041,SolutionsLLC,30,ENIG,4/22/2023,5/11/2023,5/17/2023,5/11/2023,44,55,3,0,44,77.21,107.04,50.58,77.2,19,0,0,0,Delamination
ORD-1016,CUST-0080,MAT-003,MC-034,PROD-030,ChipLLC,16,Hard Gold,6/7/2023,7/5/2023,7/4/2023,7/2/2023,52,63,4,0,52,33.41,115.04,79.64,64.83,28,0,0,0,Short circuit
ORD-1017,CUST-0332,MAT-001,MC-005,PROD-006,AlphaFabrication,6,ENIG,10/5/2023,10/26/2023,11/12/2023,10/26/2023,21,24,1,0,21,23.13,86.35,32.3,51.81,21,0,0,0,AOI defect
ORD-1018,CUST-0343,MAT-004,MC-020,PROD-044,ChipGroup,30,Immersion Gold,8/25/2023,9/17/2023,10/3/2023,10/5/2023,26,32,6,0,26,84.68,63.69,36.87,77.17,23,1,2,0,Contamination
ORD-1019,CUST-0242,MAT-006,MC-009,PROD-001,Digital GmbH,4,ENIG,7/18/2023,8/10/2023,8/25/2023,8/10/2023,58,69,2,0,58,207.42,111.54,38.08,60.74,23,0,0,0,Contamination
