customer_id,customer_name,customer_type,country,country_code,region,status
CUST-0001,Global Component AB,Networking Equipment,Finland,FIN,Europe,Active
CUST-0002,Swift Component Global,Railway Systems,France,FRA,Europe,Active
CUST-0003,Micro Link SpA,Marine Electronics,United Arab Emirates,ARE,Middle East,Active
CUST-0004,QuickControl,Gaming & Entertainment,Turkey,TUR,Middle East,Active
CUST-0005,SysInc,Broadcasting Equipment,Switzerland,CHE,Europe,Active
CUST-0006,Tron SA,Medical Devices,South Korea,KOR,Asia,Active
CUST-0007,Atlas Solutions Electronics,Computing Hardware,Argentina,ARG,South America,Active
CUST-0008,Pro LLC,Automotive,India,IND,Asia,Active
CUST-0009,SystemsElectronics,IoT Devices,New Zealand,NZL,Oceania,Active
CUST-0010,Rapid Net AS,Networking Equipment,France,FRA,Europe,Active
CUST-0011,Gamma Industries,Smart Home,Colombia,COL,South America,Active
CUST-0012,Link AB,Automotive,South Africa,ZAF,Africa,Active
CUST-0013,ProComponent,Aerospace & Defense,Finland,FIN,Europe,Active
CUST-0014,Industries Global,Scientific Instruments,Denmark,DNK,Europe,Active
CUST-0015,Nexus Manufacturing Corp,Wearables,Japan,JPN,Asia,Active
CUST-0016,PlusSystems,IoT Devices,Japan,JPN,Asia,Active
CUST-0017,Inno Industries,Computing Hardware,Sweden,SWE,Europe,Active
CUST-0018,SignalAB,Gaming & Entertainment,Brazil,BRA,South America,Active
CUST-0019,Titan SpA,Test & Measurement,Netherlands,NLD,Europe,Active
CUST-0020,Ultra Tron AG,Marine Electronics,Vietnam,VNM,Asia,Active
CUST-0021,Tech Industries,Computing Hardware,Saudi Arabia,SAU,Middle East,Inactive
CUST-0022,Swift Component LLC,Semiconductor,Turkey,TUR,Middle East,Active
CUST-0023,Tech AS,Aerospace & Defense,Vietnam,VNM,Asia,Active
CUST-0024,Connect AG,Medical Devices,United Arab Emirates,ARE,Middle East,Active
CUST-0025,Manufacturing International,IoT Devices,Argentina,ARG,South America,Active
CUST-0026,ProAssembly,Consumer Electronics,Saudi Arabia,SAU,Middle East,Active
CUST-0027,Global LLC,Robotics,Singapore,SGP,Asia,Active
CUST-0028,PlusBoard,Audio & Video,France,FRA,Europe,Active
CUST-0029,Pro Assembly GmbH,Scientific Instruments,Netherlands,NLD,Europe,Active
CUST-0030,WaveAB,Marine Electronics,Saudi Arabia,SAU,Middle East,Active
CUST-0031,QuickLogic,Scientific Instruments,Malaysia,MYS,Asia,Active
CUST-0032,Neo Industries,Networking Equipment,Spain,ESP,Europe,Active
CUST-0033,Circuit Group,Networking Equipment,Australia,AUS,Oceania,Active
CUST-0034,Digital Module Corp,Automotive,Denmark,DNK,Europe,Active
CUST-0035,Board International,Computing Hardware,Finland,FIN,Europe,Active
CUST-0036,ProTron,Railway Systems,New Zealand,NZL,Oceania,Active
CUST-0037,Supreme SA,Medical Devices,Italy,ITA,Europe,Active
CUST-0038,Rigid Solutions,Audio & Video,Philippines,PHL,Asia,Active
CUST-0039,Smart Flex Technologies,Networking Equipment,Italy,ITA,Europe,Active
CUST-0040,MultiGmbH,Aerospace & Defense,Vietnam,VNM,Asia,Active
CUST-0041,DigitalMulti,Medical Devices,Australia,AUS,Oceania,Active
CUST-0042,ManufacturingInc,Semiconductor,France,FRA,Europe,Active
CUST-0043,SupremeLayer,IoT Devices,Hong Kong,HKG,Asia,Active
CUST-0044,Apex Flex Inc,Computing Hardware,India,IND,Asia,Active
CUST-0045,Delta Solutions,Scientific Instruments,Australia,AUS,Oceania,Active
CUST-0046,QuantumLogic,Telecommunications,Austria,AUT,Europe,Active
CUST-0047,PCBTechnologies,Telecommunications,Germany,DEU,Europe,Active
